Algorithm,Benchmark,Operator,Iter10,Iter20,Iter30,Iter40,Iter50,Iter60,Iter70,Iter80,Iter90,Iter100
RLT-MOPSO,DTLZ2,IVT,0.32,0.36,0.4,0.47,0.53,0.595,0.58,0.6,0.49,0.605
RLT-MOPSO,DTLZ2,DPRT,0.235,0.235,0.25,0.29,0.18,0.19,0.205,0.165,0.215,0.195
RLT-MOPSO,DTLZ2,Gbest,0.445,0.405,0.35,0.24,0.29,0.215,0.215,0.235,0.295,0.2
RLT-MOPSO,WFG8,IVT,0.33,0.335,0.355,0.415,0.395,0.43,0.425,0.475,0.39,0.445
RLT-MOPSO,WFG8,DPRT,0.22,0.25,0.24,0.2,0.25,0.2,0.255,0.225,0.305,0.22
RLT-MOPSO,WFG8,Gbest,0.45,0.415,0.405,0.385,0.355,0.37,0.32,0.3,0.305,0.335
RLT-MOPSO,Viennet3,IVT,0.31,0.265,0.275,0.245,0.265,0.225,0.295,0.265,0.28,0.225
RLT-MOPSO,Viennet3,DPRT,0.285,0.335,0.275,0.32,0.36,0.275,0.27,0.305,0.31,0.375
RLT-MOPSO,Viennet3,Gbest,0.405,0.4,0.45,0.435,0.375,0.5,0.435,0.43,0.41,0.4
RT-MOPSO,DTLZ2,IVT,0.335,0.36,0.32,0.315,0.315,0.295,0.29,0.375,0.355,0.35
RT-MOPSO,DTLZ2,DPRT,0.315,0.31,0.325,0.325,0.33,0.355,0.3,0.36,0.285,0.375
RT-MOPSO,DTLZ2,Gbest,0.35,0.33,0.355,0.36,0.355,0.35,0.41,0.265,0.36,0.275
RT-MOPSO,WFG8,IVT,0.365,0.3,0.26,0.335,0.33,0.325,0.285,0.315,0.385,0.32
RT-MOPSO,WFG8,DPRT,0.355,0.37,0.31,0.315,0.36,0.345,0.36,0.39,0.33,0.295
RT-MOPSO,WFG8,Gbest,0.28,0.33,0.43,0.35,0.31,0.33,0.355,0.295,0.285,0.385
RT-MOPSO,Viennet3,IVT,0.28,0.255,0.31,0.32,0.33,0.34,0.395,0.29,0.325,0.325
RT-MOPSO,Viennet3,DPRT,0.305,0.365,0.335,0.325,0.34,0.345,0.355,0.35,0.36,0.365
RT-MOPSO,Viennet3,Gbest,0.415,0.38,0.355,0.355,0.33,0.315,0.25,0.36,0.315,0.31
